,Tên loài,Mô tả,Nơi sống tự nhiên,Trạng thái bảo tồn,Type
0,Trăn Đất,"Trăn đất là loài bò sát lớn thuộc họ Pythonidae. Chúng có thân dẹp và dài, thường có màu sắc đa dạng và có khả năng bò lên cây. Trăn đất là loài ăn thịt và săn mồi bằng cách siết chặt nạn nhân.","Châu Phi, Châu Á",LC (Ít quan tâm),1
1,Trăn Gấm Khổng Lồ,"Trăn gấm khổng lồ là một loài trăn lớn và hiếm, sống chủ yếu trong rừng nhiệt đới. Chúng có thể đạt đến kích thước khổng lồ và là một trong những loài trăn lớn nhất trên thế giới.","Châu Phi, Châu Á",VU (Nguy cấp),1
2,Trăn Anaconda,"Rắn Anaconda là một loài rắn lớn sống chủ yếu ở Nam Mỹ. Với kích thước khổng lồ, chiều dài lên đến 9 mét và trọng lượng lên đến 250 kg, chúng là những con rắn lớn nhất trên Trái đất. Rắn Anaconda không độc, nhưng chúng sử dụng sức mạnh với khả năng cuộn quanh và siết chết con mồi. Chúng đóng vai trò quan trọng trong hệ sinh thái và duy trì cân bằng dân số của các loài khác trong môi trường sống tự nhiên",Nam Mỹ,LC (Ít quan tâm),2
3,Rồng Đất,Rồng đất là một loài thằn lằn lớn và có vảy. Chúng sống trong các khu rừng và thảo nguyên và có khả năng chạy nhanh. Rồng đất là loài ăn thịt và săn mồi bằng cách đột kích nạn nhân.,"Châu Phi, Châu Á",VU (Nguy cấp),1
4,Rồng Komodo,"Rồng Komodo là một loài bò sát lớn nhất trên Trái đất, được tìm thấy ở Indonesia. Chúng có kích thước lớn, có thể dài tới 3 mét và nặng khoảng 70 kg. Rồng Kômodo là loài ăn thịt và săn mồi các loài động vật nhỏ hơn.","Hòn đảo Komodo, Indonesia",VU (Nguy cấp),2
5,Cự Đà xanh,Cự đà xanh là một loài thằn lằn có màu xanh lá cây và sống trong các khu rừng nhiệt đới. Chúng có thể thay đổi màu sắc để phù hợp với môi trường xung quanh. Cự đà xanh là loài ăn cỏ và săn mồi nhỏ.,"Châu Phi, Châu Á",LC (Ít quan tâm),1
6,Kỳ Đà Hoa,Kỳ đà hoa là một loài kỳ đà có màu sắc rực rỡ. Chúng sống trong các khu rừng nhiệt đới và thích leo trèo trên cây. Kỳ đà hoa là loài ăn thịt và săn mồi bằng cách trèo cây để tìm kiếm con mồi.,"Châu Phi, Châu Á",VU (Nguy cấp),1
7,Kỳ Đà Vân,Kỳ đà vân là một loài kỳ đà có vảy đa dạng màu sắc. Chúng có khả năng thay đổi màu sắc để phù hợp với môi trường. Kỳ đà vân là loài ăn cỏ và có khả năng trèo cây.,"Châu Phi, Châu Á",LC (Ít quan tâm),1
8,Rùa Răng,"Rùa răng là một loài rùa nhỏ có mặt trên lục địa Châu Phi. Chúng có vảy răng trên mỏ và hàm, từ đó có tên gọi. Rùa răng sống chủ yếu ở vùng đồng cỏ và có thể sống lâu.","Châu Phi, Châu Á",VU (Nguy cấp),1
9,Rùa Cá Sấu,"Rùa cá sấu là một loài rùa lớn, có vỏ sừng giống cá sấu. Chúng sống trong nước ngọt và có kích thước lớn, có thể dài tới 2 mét và nặng khoảng 200 kg. Rùa cá sấu là loài ăn tạp, ăn các loại thực phẩm nổi trên mặt nước và dưới đáy nước. Chúng đóng vai trò quan trọng trong hệ sinh thái nước ngọt, nhưng đang đối mặt với nguy cơ suy giảm số lượng.","Châu Phi, Châu Á",LC (Ít quan tâm),1
10,Rùa Trung Bộ,"Rùa trung bô là một loài rùa nước ngọt lớn và sống trong các sông, hồ và đầm lầy ở Châu Mỹ. Chúng có thân lớn và vảy dày bảo vệ. Rùa trung bô là loài ăn cỏ và có khả năng thích nghi với môi trường nước ngọt.",Châu Á,LC (Ít quan tâm),1
11,Rùa Núi Vàng,Rùa núi vàng là một loài rùa nhỏ có màu sắc vàng đặc trưng. Chúng sống chủ yếu trong các khu vực núi cao và có thể điều chỉnh nhiệt độ cơ thể. Rùa núi vàng là loài ăn thực vật và có thể sống rất lâu.,Châu Á,EN (Nguy cấp),1
12,Cá Sấu,"Cá sấu là một loài bò sát lớn, sống trong nước ngọt. Chúng có hình dáng đáng sợ với mõm dài và răng sắc nhọn. Cá sấu là loài ăn thịt và có kích thước lớn. Chúng sống trong sông, hồ và đầm lầy. Tuy nhiên, cá sấu đang đối mặt với nguy cơ suy giảm số lượng do mất môi trường sống và săn bắt.",Toàn cầu,LC (Ít quan tâm),1
13,Tắc Kè,"Tắc kè là một loài cá nước ngọt nhỏ, thường có màu xám hoặc nâu. Chúng sống ở sông, hồ và đầm lầy, và ăn côn trùng, tảo và hạt mầm cây. Tắc kè có giá trị thương mại và nuôi trong hồ cá. Tuy nhiên, chúng đang bị đe dọa do khai thác quá mức và mất môi trường sống.","Châu Phi, Châu Á",LC (Ít quan tâm),1
14,Kỳ Nhông,"Kỳ nhông là một loài ếch cây nhỏ, sống ở khu vực châu Á. Chúng có khả năng nhảy xa và có màu sắc đa dạng để phù hợp với môi trường. Kỳ nhông ăn côn trùng và đóng vai trò quan trọng trong hệ sinh thái. Tuy nhiên, môi trường sống của chúng đang bị đe dọa.","Châu Phi, Châu Á",LC (Ít quan tâm),1
