,Tên loài chim,Mô tả,Nơi sống tự nhiên,Trạng thái bảo tồn,Types
0,Chim Hải Âu,"Chim Hải Âu loài chim sinh sống ở đại dương và vùng biển trên thế giới có ngoại hình đẹp, cùng kỹ thuật săn mồi điêu luyện. Chúng được tìm thấy trên các bờ biển của Châu Á, Bắc Mỹ và Châu Âu.",Toàn cầu,LC (Ít quan tâm),4
1,Chim Công,Chim công là loài chim lớn và nổi tiếng với hình dạng và màu sắc độc đáo. Chúng được tìm thấy ở Châu Phi và Châu Á.,"Châu Phi, Ấn Độ",LC (Ít quan tâm),3
2,Chim Hoàng Yến,"Hoàng Yến hay còn có nhiều tên gọi khác như Yến hót, Yến Đại Tây Dương, Yến Canary. Nó được đánh giá là một loài chim thông minh, nhanh nhẹn, hót hay","Bắc Mỹ, Nam Mỹ",LC (Ít quan tâm),6
3,Chim Hồng Hạc,Chim Hồng Hạc là loài chim lớn và có sải cánh rộng nhất trong số các loài chim. Chúng sinh sống ở khu vực Nam Mỹ.,"Châu Á, Đông Nam Á",VU (Nguy cấp),3
4,Chim Cú Mèo,Chim Cú Mèo là một loài chim thuộc họ chim cú. Chúng có hình dạng và màu sắc đặc trưng và được tìm thấy ở Châu Phi và Châu Á.,"Châu Á, Châu Phi",LC (Ít quan tâm),7
5,Chim Bồ Câu,"Chim Bồ Câu là một loài chim gần gũi với con người và sinh sống trên toàn thế giới. Chúng có thân hình nhỏ, chân ngắn và thích sống trong môi trường gần con người.",Toàn cầu,LC (Ít quan tâm),9
6,Diều Hâu,"Diều hâu là loài chim săn mồi có kích thước trung bình đến lớn. Chúng nổi tiếng với tầm nhìn sắc nét và khả năng bay mạnh mẽ. Diều hâu thường săn bắt các loài động vật nhỏ và sống ở rừng, vùng đồng cỏ và khu vực núi.",Toàn cầu,LC (Ít quan tâm),300
7,Chim Én,"Chim én là loài chim nhỏ có khả năng bay dài và nhanh. Chúng có lông màu sẫm và hình dáng thon gọn. Chim én sống trong các khu rừng, vùng đồng cỏ và khu đô thị trên toàn thế giới và ăn chủ yếu các loại côn trùng.",Toàn cầu,LC (Ít quan tâm),83
8,Chim Sẻ,"Chim sẻ là loài chim nhỏ với lông màu nâu và trắng. Chúng nổi tiếng với khả năng xây tổ tinh xảo và làm tổ trong các khu vực có cây. Chim sẻ sống trong rừng, vườn cây và khu đô thị và ăn chủ yếu hạt và côn trùng.",Toàn cầu,LC (Ít quan tâm),53
9,Chim Họa Mi,Chim họa mi là loài chim nhỏ với lông màu nâu và trắng. Chúng nổi tiếng với khả năng hát hay và âm thanh đa dạng. Chim họa mi sống trong các khu vực có cây và ăn chủ yếu các loại trái cây và côn trùng.,Toàn cầu,LC (Ít quan tâm),12
10,Chim Diệc,"Chim diệc là loài chim nhỏ với màu lông đa dạng và mỏ dài. Chúng nổi tiếng với khả năng tạo ra âm thanh phức tạp và hấp dẫn. Chim diệc sống trong các khu rừng và ăn chủ yếu côn trùng, mật hoa và trái cây.","Châu Phi, Nam Mỹ",VU (Nguy cấp),34
11,Chim Cút,Chim cút là loài chim nhỏ với lông màu nâu và trắng. Chúng sống trong các khu vực cỏ cây và thích ăn hạt và côn trùng. Chim cút thường sống thành đàn nhỏ và thường được nuôi để lấy thịt và trứng.,Toàn cầu,LC (Ít quan tâm),32
12,Chim Bồ Nông,"Chim bồ nông là loài chim lớn với cổ dài và chân dài. Chúng có màu lông đa dạng và sống trong các khu vực đầm lầy và sông ngòi. Chim bồ nông ăn chủ yếu cá, ếch và động vật nhỏ khác.",Toàn cầu,LC (Ít quan tâm),12
13,Chim Hạc,"Chim hạc là loài chim lớn với cổ dài và lông trắng tinh. Chúng sống trong các khu vực nước lớn và đầm lầy. Chim hạc ăn chủ yếu cá, ếch và động vật nhỏ.",Toàn cầu,LC (Ít quan tâm),18
14,Chim Yến,Chim yến là loài chim nhỏ với lông màu xám và sọc trắng. Chúng sống trong các khu vực cây cối và thường xây tổ dưới mái nhà hoặc trong hang đá. Chim yến ăn chủ yếu các loại côn trùng.,"Châu Á, Châu Phi",LC (Ít quan tâm),40
15,Quạ,"Chim quạ là loài chim nhỏ với hình dáng gọn gàng và lông màu xám. Chúng sống trong các khu vực rừng cây và thích ăn thức ăn như thịt, trái cây và côn trùng. Chim quạ thường bay thành đàn và có khả năng bay nhanh.",Toàn cầu,LC (Ít quan tâm),35
16,Chim Bìm Bịp,"Chim bìm bịp là loài chim nhỏ với lông màu sặc sỡ và tiếng hót đặc trưng. Chúng sống trong các khu vực rừng cây và thích ăn trái cây, mật hoa và côn trùng. Chim bìm bịp nổi tiếng với khả năng hát hay.",Toàn cầu,LC (Ít quan tâm),60
17,Đại Bàng,"Là loài chim săn mồi lớn có cánh rộng và mỏ sắc nhọn. Lông thường có màu nâu hoặc trắng. Sống chủ yếu ở các khu vực rừng, núi và vùng đồng cỏ.","Châu Á, Bắc Mỹ",NT (Gần nguy cấp),300
18,Kền Kền,"Kền kền là loài chim nhỏ sống trong môi trường nước ngọt như hồ, ao, đầm lầy. Chúng có hình dáng nhỏ gọn và bộ lông đa dạng với màu sắc phong phú. Kền kền ăn các loại thức ăn như hạt mầm cây, côn trùng và cũng có thể ăn xác chết và hóa thạch từ mặt nước hoặc dưới đáy nước.","Châu Á, Châu Phi",VU (Nguy cấp),255
19,Chim Trĩ Hoàng đế,Là loài chim có kích thước trung bình với lông lấp lánh và màu sắc rực rỡ. Chúng thường được tìm thấy ở các khu vực rừng mưa nhiệt đới và rừng rậm.,Châu Phi,LC (Ít quan tâm),100
